time[h],s11,s11_err,s22,s22_err,s33,s33_err,s12,s12_err,s13,s13_err,s23,s23_err,p0,p0_err,ts,ts_err,tv,tv_err
331.0,0.7217576448829407,0.0934915308635524,0.0434351195241402,0.02627450356186071,0.0518550122128089,0.02288264330769932,0.0,0.0,0.0,0.0,0.0,0.0,0.18261806137514422,0.04805934732710385,-4.355955205153922e-06,3.121455697714196e-05,6.399354037820531e-06,1.6184741173723903e-05
341.0,0.7217620803073012,0.09047213511726677,0.04343542700287003,0.025663965288348186,0.05185472696085974,0.026993903877960707,0.0,0.0,0.0,0.0,0.0,0.0,0.18261819488007083,0.05038415308064191,-3.4900212766794764e-06,2.312821247350275e-05,5.064034284285473e-06,1.3218034679403263e-05
351.0,0.7217656825786546,0.09575333992575442,0.04343569376140187,0.026957991328020403,0.05185449918736633,0.025839942538314387,0.0,0.0,0.0,0.0,0.0,0.0,0.18261828970806135,0.05283719945082563,-2.79953442736187e-06,1.772706520369093e-05,4.004933864532513e-06,9.348895528467333e-06
361.0,0.7217686079130116,0.09340212732950319,0.04343592277662222,0.021211805803824993,0.05185431727574433,0.0243789197331436,0.0,0.0,0.0,0.0,0.0,0.0,0.18261835622579461,0.047775975299036835,-2.248282029526315e-06,1.5935412152358065e-05,3.1654683282111555e-06,8.329728425828876e-06
371.0,0.7217709833209748,0.08918842127106989,0.043436117716635476,0.024829927985899614,0.051854171963417704,0.027532266702356326,0.0,0.0,0.0,0.0,0.0,0.0,0.18261840211006367,0.04127471727339817,-1.8076627201627095e-06,1.0886034335547703e-05,2.5005098670772354e-06,6.429235277612887e-06
381.0,0.7217729120508348,0.08397167473208589,0.0434362824819886,0.020626579820782847,0.05185405586340749,0.02565932098176937,0.0,0.0,0.0,0.0,0.0,0.0,0.18261843304003447,0.05223191071653336,-1.4550573095412688e-06,9.89155083176784e-06,1.974102326709402e-06,5.405452928405397e-06
391.0,0.7217744780178691,0.08341489438309081,0.043436420918504554,0.0240345323278623,0.051853963083517134,0.023581014396357666,0.0,0.0,0.0,0.0,0.0,0.0,0.18261845320993955,0.059504390189755244,-1.1725549947471358e-06,9.109517887855391e-06,1.5576226942680487e-06,4.063878573520611e-06
401.0,0.7217757494102804,0.08852157477717208,0.04343653664752111,0.024108287180529646,0.05185388892310311,0.027436386590370062,0.0,0.0,0.0,0.0,0.0,0.0,0.18261846570972157,0.049316311832030106,-9.459558170556441e-07,6.4612794048611866e-06,1.2283043683766005e-06,3.5805111113296597e-06
411.0,0.7217767816252806,0.08920938465367072,0.04343663297511546,0.027048910346144282,0.05185382963154704,0.027907814845368733,0.0,0.0,0.0,0.0,0.0,0.0,0.1826184728081934,0.051498465960308916,-7.639882784352877e-07,5.84314081870063e-06,9.680528699052206e-07,3.0599886687493534e-06
421.0,0.7217776196596518,0.09530514203316796,0.04343671285329679,0.022705923303778266,0.05185378221581994,0.02538362377217848,0.0,0.0,0.0,0.0,0.0,0.0,0.18261847616399762,0.05164889804871972,-6.176948277360324e-07,4.2337123188954085e-06,7.624974241634148e-07,2.4829313744919835e-06
431.0,0.7217783000557875,0.09323690965124422,0.04343677887434565,0.026475900416261813,0.0518537442871215,0.028136084957836358,0.0,0.0,0.0,0.0,0.0,0.0,0.18261847698293424,0.05009051808577167,-4.999485344515173e-07,4.041606665919625e-06,6.002324126026746e-07,1.9461431275773e-06
441.0,0.7217788524854521,0.087274572015427,0.04343683328534317,0.025968664357479798,0.05185371393863253,0.0241164020915952,0.0,0.0,0.0,0.0,0.0,0.0,0.18261847613535737,0.049170783788172294,-4.0507244302571627e-07,3.1104639216888152e-06,4.722113921157992e-07,1.5992322740350166e-06
451.0,0.7217793010382947,0.09962193516716224,0.04343687801410091,0.023140043936442856,0.05185368964805031,0.024924696402389368,0.0,0.0,0.0,0.0,0.0,0.0,0.18261847424378339,0.04727921692596829,-3.2853941419510387e-07,2.1638075224568255e-06,3.712635124238199e-07,1.289285437107247e-06
461.0,0.721779665269804,0.09612386258908931,0.0434369147006449,0.025838313750331757,0.05185367019986985,0.02846347433972903,0.0,0.0,0.0,0.0,0.0,0.0,0.18261847174824364,0.0485975432800182,-2.667351453672137e-07,2.1368030476657177e-06,2.917079861883674e-07,1.1067880584144077e-06
471.0,0.7217799610533256,0.08332226466446256,0.043436944730465,0.024991384384981045,0.05185365462340179,0.02512721893158812,0.0,0.0,0.0,0.0,0.0,0.0,0.18261846895499115,0.049443998034631,-2.1677085085917581e-07,1.6427229910415061e-06,2.2904700626132768e-07,8.591978958402604e-07
481.0,0.721780201272548,0.10195667197071523,0.04343696926716724,0.02779580941398151,0.05185364214333471,0.024549565060627596,0.0,0.0,0.0,0.0,0.0,0.0,0.18261846607274915,0.05018239351861813,-1.7633502484144346e-07,1.3079927888465882e-06,1.7972135036761293e-07,7.021132308187221e-07
491.0,0.7217803963841518,0.09289717665147489,0.04343698928313936,0.02567100461107939,0.05185363214029857,0.028409433385862524,0.0,0.0,0.0,0.0,0.0,0.0,0.18261846323963393,0.046517815472525745,-1.4357600154619434e-07,1.121901894894925e-06,1.409160257124037e-07,5.046363659534843e-07
